Continents,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Africa,Mauritania,1.83,1.4,2.4,1.7,2.37,4.25,3.63,2.99,5.1,3.75,3.12,0.0,1.8,5.9,-3.1,9.8,5.8,-4.0,2.8,3.7,-3.9,-0.8,1.4,6.9,4.7,8.6,18.3,-2.0,-0.3,0.1,2.6,4.2,4.5,4.2,4.3,5.4,1.3,6.3,4.8,5.4,-0.9,2.4,5.0,4.4,5.260498015873019,5.867064682539683,4.241126190476191,4.8654789682539725,4.212265873015872
Africa,Mauritius,-10.1,5.9,5.5,0.4,4.8,6.9,9.7,10.2,6.8,4.5,7.2,4.4,6.5,5.1,4.1,4.3,5.6,5.7,6.1,2.6,8.2,3.2,1.6,6.0,4.3,1.5,4.5,5.7,5.4,3.3,4.4,4.1,3.5,3.4,3.8,3.7,3.9,3.9,4.0,2.9,-14.6,3.5,8.3,4.6,4.082017460317463,3.730776388888891,3.5969799603174604,3.471891865079367,3.4678986111111136
America,Mexico,9.5,8.5,-0.5,-3.5,3.4,2.2,-3.1,1.7,1.3,4.1,5.2,4.2,3.5,2.7,4.9,-6.3,6.8,6.8,5.2,2.8,4.9,-0.4,0.0,1.4,3.9,2.3,4.5,2.3,1.1,-5.3,5.1,3.7,3.6,1.4,2.8,3.3,2.6,2.1,2.2,-0.2,-8.0,4.7,3.1,1.8,1.728379870129869,2.033572318422319,1.9344218975468983,1.898118626743627,1.8909237012987021
Oceania,"Micronesia, Fed. States of",1.39,2.43,1.72,1.01,8.96,1.26,3.42,1.22,2.16,3.01,1.68,1.92,4.46,3.59,5.93,3.62,-3.1,-6.1,2.7,1.5,4.9,2.1,0.6,1.6,-3.1,2.1,-0.1,-1.9,-2.2,1.0,2.3,3.2,-1.9,-3.7,-2.3,4.6,0.9,2.7,0.2,1.2,-1.8,-3.2,-0.6,2.8,2.4135041958041983,1.4844529137529139,1.1480015151515137,1.0296298368298358,1.0274658508158496
Europe,Moldova,2.89,1.09,1.47,2.08,3.01,2.53,3.34,3.18,3.42,3.73,1.2,-17.5,-29.7,-1.2,-30.9,-1.4,-5.9,1.6,-6.5,-3.4,2.1,6.1,7.8,6.6,7.4,7.5,4.8,3.0,7.8,-6.0,7.1,5.8,-0.6,9.0,5.0,-0.3,4.4,4.2,4.1,3.6,-8.3,13.9,-5.6,2.0,3.726117059411182,4.319936078627253,4.394420218017283,4.39326056296645,4.39119902450491
Asia,Mongolia,6.4,8.4,8.3,5.8,5.9,5.7,9.4,3.5,5.1,4.2,-2.5,-9.2,-9.3,-3.2,2.1,6.4,2.2,3.9,3.3,3.1,1.1,4.6,5.3,7.4,9.4,6.5,8.2,8.8,7.8,-2.1,7.3,17.3,12.3,11.6,7.9,2.4,1.5,5.6,7.7,5.6,-4.6,1.6,4.8,4.5,5.9440199134199165,5.732400829725832,5.259363095238094,4.9977596681096665,4.950535569985569
Europe,Montenegro,2.89,1.09,1.47,2.08,3.01,2.53,3.34,3.18,3.42,3.73,1.2,-1.99,-1.42,-1.08,1.08,3.03,4.07,3.85,3.97,2.82,4.53,1.1,1.9,2.5,4.4,4.2,8.6,6.8,7.2,-5.8,2.7,3.2,-2.7,3.5,1.8,3.4,2.9,4.7,5.1,4.1,-15.3,13.0,6.4,3.2,3.1073090720857612,3.2238501970551185,3.18951617418233,3.1832691547050627,3.1642537409268185
Africa,Morocco,3.8,-2.8,9.6,-0.6,4.3,6.3,8.3,-2.5,10.4,2.4,4.0,7.2,-2.1,-0.7,10.6,-5.4,12.4,-1.6,7.2,1.1,1.9,7.3,3.1,6.0,4.8,3.3,7.6,3.5,5.9,4.2,3.8,5.2,3.0,4.5,2.7,4.3,0.5,5.1,3.1,2.9,-7.2,7.9,1.1,3.0,2.8740285828206886,3.0729415603402455,3.0970866731221984,3.1544859345333034,3.1424941957165644
Africa,Mozambique,4.2,5.0,-6.9,-15.7,-6.5,1.0,-2.3,14.7,8.2,6.5,1.0,6.6,-6.1,10.6,6.5,2.3,11.2,11.3,9.9,11.7,1.2,12.1,9.3,6.9,7.9,6.6,9.7,7.7,7.3,6.3,6.5,7.4,7.3,7.0,7.4,6.7,3.8,3.7,3.4,2.3,-1.2,2.3,4.1,5.0,7.363439393939398,4.915566666666674,5.20520303030303,11.356766666666667,10.718272727272725
Asia,Myanmar,3.98,5.65,2.44,4.76,7.16,3.74,3.65,5.39,4.77,3.81,4.2,3.72,5.73,1.67,1.77,3.62,4.65,5.28,2.68,8.4,12.4,12.5,9.9,13.2,15.3,13.6,13.3,12.5,7.6,4.4,5.2,5.5,6.5,7.9,8.2,7.5,6.4,5.8,6.4,6.8,3.2,-17.9,2.0,2.6,2.678074610588477,2.7963772801203466,2.930787743116453,3.1286386248267815,3.4485630995274916
Africa,Namibia,1.83,1.4,2.4,1.7,2.37,4.25,3.63,2.99,5.1,3.75,3.12,5.3,9.3,-1.6,3.0,4.1,3.2,4.2,3.3,3.4,3.5,2.4,6.7,3.5,6.6,4.7,3.9,3.6,2.6,0.3,6.0,5.1,5.1,5.6,6.1,4.3,0.0,-1.0,1.1,-0.8,-8.0,2.7,3.8,2.8,2.6476433621933615,2.7250791005291,2.714836291486291,2.724968446368446,2.71632453102453
Oceania,Nauru,1.39,2.43,1.72,1.01,8.96,1.26,3.42,1.22,2.16,3.01,1.68,1.92,4.46,3.59,5.93,3.62,2.88,-0.15,2.35,1.78,1.45,1.47,2.75,2.12,1.85,-8.0,-8.3,-6.8,63.3,-6.0,-0.3,9.3,30.6,5.0,14.7,-5.7,8.0,-5.9,7.2,9.1,4.1,2.7,3.0,1.0,2.0457905050505047,2.462602222222223,2.5454825252525275,2.518038383838382,2.5358613131313112
Asia,Nepal,-2.3,8.3,3.8,-3.0,9.7,6.1,4.6,1.7,7.7,4.3,4.6,6.4,4.1,3.8,8.2,3.5,5.3,5.3,2.9,4.5,6.1,5.6,0.1,3.9,4.7,3.5,3.4,3.4,6.1,4.5,4.8,3.4,4.7,3.5,6.0,4.0,0.4,9.0,7.6,6.7,-2.4,4.2,5.8,4.4,5.111919444444447,5.057159920634919,4.936887698412694,4.930983333333329,4.932663492063489
Europe,Netherlands,2.89,-0.5,-1.3,1.8,3.1,2.7,3.1,1.9,4.6,4.5,4.2,2.5,1.6,1.3,3.0,2.8,3.5,4.3,4.7,5.0,4.2,2.3,0.2,0.2,2.0,2.0,3.5,3.8,2.2,-3.7,1.3,1.5,-1.0,-0.1,1.4,2.0,2.2,2.9,2.4,2.0,-3.9,4.9,4.5,1.0,1.3051960099669855,1.5869330065359475,1.584610553567519,1.4932454725271282,1.5043101296020793
Oceania,New Zealand,1.0,3.0,2.9,-0.1,6.9,1.2,1.8,2.4,0.6,0.4,0.0,-1.3,0.7,5.2,5.6,4.9,4.1,2.5,0.4,4.5,4.2,2.5,4.7,4.4,4.8,3.2,2.8,3.5,-0.3,-1.1,1.8,1.8,2.5,2.3,3.8,3.7,3.9,3.5,3.5,3.1,-1.5,6.1,2.4,1.1,1.569316910866911,2.663563308913312,2.629398534798537,2.6751275946275945,2.6748978021978025
America,Nicaragua,4.6,5.4,-0.8,4.6,-1.6,-4.1,-1.0,-0.7,-12.4,-1.7,-0.1,-0.2,0.4,-0.4,5.0,5.9,6.3,4.0,3.7,7.0,4.1,3.0,0.8,2.5,5.3,4.3,3.8,5.1,3.4,-3.3,4.4,6.3,6.5,4.9,4.8,4.8,4.6,4.6,-3.4,-3.8,-1.8,10.3,4.0,3.0,2.9614991474043215,3.1394917266641413,3.1276283061765815,3.1185829922950625,3.1147061639509923
Africa,Niger,4.9,-0.2,2.2,-3.9,-16.8,7.7,6.4,0.1,6.9,1.0,-1.3,-0.4,2.0,0.3,1.9,2.5,0.1,1.5,10.0,-0.2,-1.2,7.3,4.9,2.2,0.4,7.3,5.9,3.1,7.7,2.0,8.6,2.4,10.5,5.3,6.6,4.4,5.7,5.0,7.0,6.1,3.5,1.4,11.1,6.1,10.132396103896104,6.289658441558445,5.944457142857142,6.3476987012987,6.329292207792206
Africa,Nigeria,1.83,1.4,2.4,1.7,2.37,4.25,3.63,2.99,5.1,3.75,3.12,-0.6,2.2,1.6,0.3,1.9,4.1,2.9,2.5,0.5,5.5,6.7,14.6,9.5,10.4,7.0,6.7,7.3,7.2,8.4,11.3,4.9,4.3,5.4,6.3,2.7,-1.6,0.8,1.9,2.2,-1.8,3.6,3.3,3.2,2.9795878183091418,3.0195821122994646,3.0099568205160843,3.0250271717171717,3.0254810489347257
Europe,North Macedonia ,2.89,1.09,1.47,2.08,3.01,2.53,3.34,3.18,3.42,3.73,1.2,-1.99,-1.42,-7.5,-1.8,-1.1,1.2,1.4,3.4,4.3,4.5,-3.1,1.5,2.2,4.7,4.7,5.1,6.5,5.5,-0.4,3.4,2.3,-0.5,2.9,3.6,3.9,2.8,1.1,2.9,3.9,-4.7,3.9,2.2,1.4,3.0685295383247047,3.342741038591985,3.2761229419969085,3.270706777628454,3.1357830747314632
Europe,Norway,4.5,1.6,0.2,4.0,6.1,5.6,4.0,1.8,-0.3,1.0,1.9,3.1,3.6,2.8,5.1,4.2,5.0,5.3,2.7,2.1,3.3,2.1,1.4,0.9,4.0,2.7,2.5,2.9,0.5,-1.9,0.8,1.1,2.7,1.0,2.0,1.9,1.2,2.5,0.8,1.1,-1.3,3.9,3.3,2.1,2.1438564663406767,1.8403265012765024,1.6240109273767167,1.4680289166973375,1.5175490937425156
Asia,Oman,6.1,17.1,11.5,15.9,13.9,14.5,2.1,-4.0,5.2,3.0,8.4,6.0,8.5,6.1,3.8,4.8,2.9,6.2,2.7,0.3,6.2,4.6,-0.8,-2.2,2.0,2.8,4.7,5.0,9.0,6.0,2.5,2.9,8.9,5.2,1.3,5.0,5.0,0.3,1.3,-1.1,-3.2,2.9,4.3,1.7,4.128181461352653,2.2348724637681188,2.4016108091787443,2.4654707729468575,2.4682725241545866
Asia,Pakistan,6.9,6.2,7.6,6.8,4.0,8.7,6.4,5.8,6.4,4.8,4.6,5.1,7.6,2.1,4.4,5.1,6.6,1.7,3.5,4.2,3.9,2.0,3.1,4.7,7.5,9.0,5.8,5.5,5.0,0.4,2.6,3.6,3.8,3.7,4.1,4.1,4.6,4.6,6.1,3.1,-0.9,5.7,6.0,0.5,3.2072145962732925,3.8545359558316057,4.115176483781924,4.224375138026225,4.226559230503797
Oceania,Palau,1.39,2.43,1.72,1.01,8.96,1.26,3.42,1.22,2.16,3.01,1.68,1.92,4.46,3.59,5.93,3.62,2.88,-0.15,2.35,1.78,1.45,6.5,5.1,-3.4,4.1,3.7,0.0,0.9,-5.3,-6.8,-1.7,4.1,1.9,-1.6,4.4,9.6,3.7,-3.4,0.0,0.4,-7.5,-12.1,-2.9,8.7,8.11781250000001,4.620745833333329,3.5316000000000014,3.2750916666666625,3.2819499999999953
America,Panama,4.5,9.2,5.3,-4.5,2.7,4.9,3.6,-1.8,-13.4,1.6,8.1,9.4,8.2,5.5,2.8,1.8,7.4,6.5,7.3,3.9,2.7,0.6,2.2,4.2,7.5,7.2,8.5,12.1,9.9,1.2,5.8,11.3,9.8,6.9,5.1,5.7,5.0,5.6,3.7,3.0,-17.9,15.3,10.0,5.0,4.09266990925741,4.016381611721612,3.9871344505494495,3.9178292316017296,3.8949499292374283
Oceania,Papua New Guinea,-2.3,1.1,0.8,3.4,-1.0,3.6,5.7,2.8,2.9,-1.4,-3.1,9.6,13.8,13.3,10.5,-3.4,6.6,-6.3,4.7,1.9,-2.5,-0.1,-0.2,9.0,0.6,4.3,2.5,7.8,-0.3,6.8,10.1,1.1,4.7,3.8,13.5,6.6,5.5,3.5,-0.3,4.5,-3.2,0.1,4.5,3.7,4.143209342046839,3.5075440723165734,3.484127690087691,3.3515618398268394,3.379098451548452
America,Paraguay,11.7,9.2,-1.4,-3.0,2.8,3.9,0.3,4.1,5.9,5.8,4.1,3.5,1.7,4.9,5.3,6.8,1.6,4.2,0.1,-1.4,-2.3,-0.8,0.0,4.3,4.1,2.1,4.8,5.4,6.5,-0.3,11.1,4.3,-0.7,8.3,5.3,3.0,4.3,4.8,3.2,-0.4,-0.8,4.0,0.2,4.5,4.0442879120879125,4.0419866117216126,3.982643174603174,3.9866726526251517,3.9337547771672767
America,Peru,7.7,5.5,-0.3,-9.3,3.8,2.1,12.1,7.7,-9.4,-13.4,-5.1,2.2,-0.5,5.2,12.3,7.4,2.8,6.5,-0.4,1.5,2.7,0.6,5.5,4.2,5.0,6.3,7.5,8.5,9.1,1.1,8.3,6.3,6.1,5.9,2.4,3.3,4.0,2.5,4.0,2.2,-11.0,13.6,2.7,2.4,2.971879778112324,3.0560279042251164,3.0353467525036018,3.0316920769203275,3.0333470158539417
Asia,Philippines,5.1,3.4,3.6,1.9,-7.3,-7.3,3.4,4.3,6.8,6.2,3.0,-0.4,0.4,2.2,4.4,4.6,5.9,5.2,-0.5,3.3,4.4,3.0,3.7,5.1,6.6,4.9,5.3,6.5,4.3,1.4,7.3,3.9,6.9,6.8,6.3,6.3,7.1,6.9,6.3,6.1,-9.5,5.7,7.6,6.0,5.937132972582974,6.074207936507943,6.069984271284273,6.0925985569985555,6.112615800865793
Europe,Poland,-6.0,-10.0,-4.8,5.6,-0.4,3.9,3.5,2.3,3.3,3.8,-7.2,-7.0,2.0,4.3,5.2,6.7,6.2,7.1,5.0,4.5,4.3,1.2,1.4,3.5,5.0,3.5,6.1,7.1,4.2,2.8,2.9,5.0,1.5,0.9,3.8,4.4,3.0,5.1,5.9,4.4,-2.0,6.8,4.9,0.3,2.6421627193407526,3.448570039425023,3.3220692150672737,3.1886157846380736,3.180320687570683
Europe,Portugal,6.7,3.5,2.2,1.0,-1.0,1.6,3.3,7.6,5.3,6.6,7.9,3.4,3.1,-0.7,1.5,2.3,3.5,4.4,4.8,3.9,3.8,1.9,0.8,-0.9,1.8,0.8,1.6,2.5,0.3,-3.1,1.7,-1.7,-4.1,-0.9,0.8,1.8,2.0,3.5,2.8,2.7,-8.3,5.5,6.7,1.0,1.6081619275461378,2.032244624819624,1.9178008069415973,1.8824112649046865,1.8572861927546152
America,Puerto Rico,3.98,1.1,-3.0,0.5,7.3,2.1,8.2,4.9,6.5,4.9,3.8,2.3,4.6,4.6,4.2,4.5,2.3,4.9,6.5,4.4,3.3,9.5,2.2,2.3,2.0,-2.0,-1.4,-1.2,-1.8,-2.0,-0.4,-0.4,0.0,-0.3,-1.2,-1.0,-1.3,-2.9,-4.4,1.7,-4.4,0.2,4.8,0.4,-0.23572670401493967,0.07690893246187365,0.32698828197945845,0.31623728602552137,0.3088926237161531
Asia,Qatar,-1.0,-3.9,-8.2,-5.3,16.0,-13.0,3.7,0.9,4.7,5.3,-14.6,-1.5,10.4,-0.9,1.9,0.4,4.2,27.7,10.3,3.8,6.9,4.5,6.9,4.0,19.2,7.8,28.1,18.2,17.5,13.1,17.7,11.3,4.7,5.6,5.3,4.8,3.1,-1.5,1.2,0.7,-3.6,1.6,4.2,2.4,2.2170315224027197,2.976569106014762,2.8525673415352757,3.2489915299676153,3.2172343068163736
Europe,Romania,3.3,0.1,3.9,6.0,6.0,-0.1,2.4,0.8,-0.5,-5.8,-5.6,-12.9,-8.8,1.5,3.9,7.1,3.9,-6.1,-4.8,-1.2,2.9,5.1,5.7,2.3,10.3,4.7,8.0,7.2,9.4,-5.6,-3.9,4.5,1.9,0.2,4.1,3.2,2.9,8.2,6.0,3.8,-3.7,5.9,4.8,2.4,3.3409894660894626,3.5694825396825434,3.51096378066378,3.4637410533910553,3.395425180375182
Asia,Russian Federation,3.98,5.65,2.44,4.76,7.16,3.74,3.65,5.39,4.77,3.81,4.2,-5.0,-14.5,-8.7,-12.7,-4.1,-3.6,1.4,-5.3,6.4,10.0,5.1,4.7,7.3,7.2,6.4,8.2,8.5,5.2,-7.8,4.5,5.1,4.0,1.8,0.7,-2.0,0.2,1.8,2.8,2.2,-2.7,5.6,-2.1,0.7,1.6691142857142858,1.5559523809523812,1.3867238095238086,1.3764404761904745,1.3223071428571438
Africa,Rwanda,-3.6,2.5,-2.5,6.0,13.0,4.4,5.5,-0.3,0.3,-5.7,0.4,-4.3,6.6,-10.4,-41.9,24.5,11.6,14.9,8.3,3.3,8.4,8.5,13.2,2.2,7.4,9.4,9.2,7.7,11.2,6.2,7.3,8.0,8.6,4.7,6.2,8.9,6.0,4.0,8.6,9.5,-3.4,10.9,6.8,6.2,7.229499999999999,6.7909000000000015,6.283649999999998,6.9568500000000055,7.45924999999999
America,Saint Kitts and Nevis,1.3,2.7,6.1,-2.1,9.7,6.4,8.8,8.3,10.4,6.0,5.5,2.3,3.1,5.4,5.4,3.5,5.9,7.3,1.0,3.9,9.7,5.3,1.4,-3.9,4.0,9.7,3.2,0.6,11.2,-3.4,0.0,1.6,-0.5,5.7,7.6,0.7,3.9,0.9,1.1,4.0,-14.5,-0.9,9.0,4.5,4.047577380952385,3.395875,3.1505119047619017,3.0930714285714243,3.077389285714282
America,Saint Lucia,-0.5,5.1,2.1,4.1,8.0,12.6,14.4,3.9,13.9,9.0,9.9,0.4,8.0,0.6,1.6,1.7,2.9,-0.7,6.3,2.7,0.0,-3.4,0.4,4.3,7.3,-0.4,6.2,1.9,4.9,-1.9,0.5,4.8,-0.4,-2.2,1.3,-0.2,3.8,3.4,2.9,-0.7,-24.4,12.2,14.9,3.0,2.22914036606668,2.160107349181033,1.9226401135414284,1.8131033081440975,1.802438144603934
America,Saint Vincent and the Grenadines,2.9,3.9,2.6,3.2,5.3,4.3,5.4,0.6,13.2,3.3,4.8,2.2,7.1,3.6,-1.2,6.8,1.1,3.7,4.5,2.1,1.8,1.6,4.9,6.1,3.7,2.3,6.5,3.1,0.4,-1.2,-4.3,-0.6,1.1,2.5,1.1,2.8,4.1,1.5,3.2,0.7,-3.7,0.8,5.3,6.0,5.127280952380952,4.104052380952379,3.2885904761904805,3.184821428571425,3.1990285714285687
Oceania,Samoa,-6.1,-9.1,-1.0,0.5,2.0,5.8,4.8,0.5,2.9,5.8,-6.4,-2.4,4.1,1.7,6.4,6.6,7.3,0.8,1.1,-0.6,5.1,7.4,5.7,5.2,3.1,6.6,2.1,0.5,3.6,-0.5,2.5,3.8,-3.7,0.1,0.7,3.9,8.0,1.4,-0.6,4.5,-3.1,-7.1,-6.0,5.0,3.9513824786324814,3.710176410256411,3.43064435897436,3.158073162393163,2.9957632478632505
Europe,San Marino,2.89,1.09,1.47,2.08,3.01,2.53,3.34,3.18,3.42,3.73,1.2,-1.99,-1.42,-1.08,1.08,3.03,4.07,3.85,7.5,9.0,2.2,5.5,0.3,3.9,4.6,2.4,3.8,7.1,-0.4,-10.1,-5.8,-8.5,-7.2,-0.8,-0.6,2.7,2.3,0.3,1.5,2.1,-6.7,8.3,4.6,1.2,1.2573493829828584,1.4913502023031429,1.4620852469297132,1.4155442038883592,1.3985661000205498
Asia,Saudi Arabia,5.7,1.9,-20.7,-16.1,-4.7,-9.8,17.0,-6.6,13.1,-0.5,15.2,15.0,4.0,-1.4,0.6,0.2,2.6,1.1,2.9,-3.8,5.6,-1.2,-2.8,11.2,8.0,5.6,2.8,1.8,6.2,-2.1,5.0,11.0,5.4,2.9,4.0,4.7,2.4,-0.1,2.8,0.8,-4.3,3.9,8.7,3.1,3.518403824361912,3.0394885451150144,3.366257315315403,3.352656346757817,3.3227263616285683
Africa,Senegal,-0.8,5.1,7.8,-5.3,3.7,3.3,3.1,6.1,-0.6,4.0,-0.7,2.6,1.2,1.3,-0.2,6.1,1.9,2.7,6.0,6.0,3.9,4.3,0.1,5.6,4.6,4.3,2.3,2.8,3.7,2.8,3.4,1.3,4.0,2.4,6.2,6.4,6.4,7.4,6.2,4.6,1.3,6.1,4.7,8.3,8.730433333333343,5.409000000000004,5.390166666666672,5.2861666666666665,6.087166666666667
Europe,Serbia,2.89,1.09,1.47,2.08,3.01,2.53,3.34,3.18,3.42,3.73,1.2,-1.99,-1.42,-1.08,1.08,3.03,4.07,3.85,2.4,-12.1,7.8,5.0,7.1,4.4,9.0,10.2,5.1,6.4,5.7,-2.7,0.7,2.0,-0.7,2.9,-1.6,1.8,3.3,2.1,4.5,4.3,-0.9,7.5,2.3,2.0,3.0368778099182765,3.9952834832735427,3.70775124108481,3.7006087100413687,3.69732324131807
Africa,Seychelles,-2.3,-3.9,-2.1,-0.6,4.3,10.3,0.8,4.9,5.3,10.3,7.5,2.8,7.2,7.3,-2.4,0.5,10.0,12.2,2.5,1.9,4.3,-2.3,1.2,-5.9,-2.9,9.0,9.4,10.4,-2.1,-1.1,6.3,5.7,3.8,6.4,4.7,5.6,5.4,4.5,3.2,3.1,-7.7,7.9,8.8,3.9,4.2841000013875,3.927206355311358,3.7541737629037653,3.9259689804639777,3.8448438811188823
Africa,Sierra Leone,-0.6,1.9,1.8,-1.6,1.7,-6.7,0.1,2.4,2.1,5.0,1.6,-8.0,-9.6,0.1,3.5,-10.0,-24.8,-17.6,-0.8,-8.1,3.8,18.2,26.4,9.3,6.6,4.5,4.2,8.1,5.4,3.2,5.3,6.3,15.2,20.7,4.6,-20.5,6.4,3.8,3.5,5.3,-2.0,4.1,2.8,3.1,4.316979578754583,4.75339325396825,4.386385775335781,4.346875305250306,4.380391758241764
Asia,Singapore,10.1,10.8,7.1,8.6,8.8,-0.6,1.3,10.8,11.3,10.2,9.8,6.7,6.6,11.5,11.1,7.2,7.5,8.3,-2.2,5.7,9.0,-1.1,3.9,4.5,9.9,7.4,9.0,9.0,1.9,0.1,14.5,6.2,4.4,4.8,3.9,3.0,3.6,4.5,3.6,1.3,-3.9,8.9,3.6,1.5,2.354038052943223,2.6407849057073203,2.6264101632084396,2.608944369806439,2.6042665646613914
Europe,Slovak Republic,2.89,1.09,1.47,2.08,3.01,2.53,3.34,3.18,3.42,3.73,1.2,-1.99,-1.42,-1.08,6.2,7.9,6.9,4.4,4.1,-0.1,1.2,3.3,4.5,5.5,5.3,6.6,8.5,10.8,5.6,-5.5,6.7,2.7,1.3,0.6,2.7,5.2,1.9,2.9,4.0,2.5,-3.4,3.0,1.7,1.3,2.6088507721509644,2.8239571256572797,2.7842921236357396,2.73397758210142,2.7314472695218424
Europe,Slovenia,2.89,1.09,1.47,2.08,3.01,2.53,3.34,3.18,3.42,3.73,1.2,-1.99,-1.42,2.8,5.3,4.1,3.6,5.0,3.3,5.3,3.7,3.2,3.5,3.0,4.4,3.8,5.7,7.0,3.5,-7.5,1.3,0.9,-2.6,-1.0,2.8,2.2,3.2,4.8,4.5,3.5,-4.3,8.2,5.4,1.6,2.4671179474628646,2.919925593911108,2.9361027832908038,2.9432710805254176,2.9382407984886134
Oceania,Solomon Islands,-2.7,-1.8,-1.7,3.9,0.2,-3.1,-0.2,8.4,1.3,4.3,2.2,6.0,12.7,4.0,8.1,10.1,1.6,-0.9,1.3,-0.5,-14.3,-8.0,-2.8,6.5,6.7,5.5,4.9,4.4,5.8,2.6,8.6,7.3,1.4,5.2,1.2,1.7,5.6,3.1,2.7,1.7,-3.4,-0.6,-4.1,2.5,2.608208324032462,2.9239575089516903,2.920108208184966,2.9171719369789066,2.9042080463121698
Africa,Somalia,1.83,1.4,2.4,1.7,2.37,4.25,3.63,2.99,5.1,3.75,3.12,2.42,1.77,2.0,1.85,4.55,4.95,6.44,3.42,3.81,4.58,5.48,4.24,3.8,5.27,5.27,5.18,5.37,4.42,2.9,5.9,3.94,1.2,5.7,2.7,4.6,4.7,2.2,3.7,2.7,-0.3,2.9,1.7,2.8,3.391457039270904,3.6738417462098103,3.717495019173729,3.7830498968880555,3.8768035590679553
Africa,South Africa,6.6,5.4,-0.4,-1.8,5.1,-1.2,0.0,2.1,4.2,2.4,-0.3,-1.0,-2.1,1.2,3.2,3.1,4.3,2.6,0.5,2.4,4.2,2.7,3.7,2.9,4.6,5.3,5.6,5.4,3.2,-1.5,3.0,3.2,2.4,2.5,1.4,1.3,0.7,1.2,1.5,0.3,-6.3,4.9,2.0,0.1,1.829758732770499,1.8970847899377303,1.79460574229692,1.7482643811526177,1.7597526303761608
Africa,"South Sudan, Republic of",1.83,1.4,2.4,1.7,2.37,4.25,3.63,2.99,5.1,3.75,3.12,2.42,1.77,2.0,1.85,4.55,4.95,6.44,3.42,3.81,4.58,5.48,4.24,3.8,5.27,5.27,5.18,5.37,4.42,2.9,5.9,3.94,-50.3,27.3,1.6,-0.2,-13.3,-5.8,-2.1,0.9,-6.5,5.3,6.6,5.6,4.7809166666666725,4.58556666666667,4.34938333333333,4.28373333333333,4.228533333333331
Europe,Spain,1.2,-0.4,1.2,1.7,1.7,2.4,3.4,5.7,5.3,5.0,3.8,2.5,0.9,-1.3,2.3,4.1,2.4,3.9,4.5,4.7,5.1,3.9,2.7,3.0,3.1,3.7,4.1,3.6,0.9,-3.8,0.2,-0.8,-3.0,-1.4,1.4,3.8,3.0,3.0,2.3,2.0,-11.3,5.5,5.5,1.5,1.9001833235352066,2.0061206773430906,1.7989775605041252,1.7666983387663278,1.710074351100099
Asia,Sri Lanka,5.8,5.3,5.2,3.3,6.7,5.0,4.3,1.5,2.7,2.3,6.2,10.8,-3.1,7.5,8.0,6.1,12.2,10.3,-1.6,2.9,8.4,-1.9,3.7,5.9,5.4,6.2,7.7,6.8,6.0,3.5,8.0,8.7,8.6,4.1,6.4,4.2,5.1,6.5,2.3,-0.2,-3.5,3.3,-8.7,-3.0,2.0974709392598068,2.727454050572116,2.9160235156772263,2.987702949391105,2.99811796688236
Africa,Sudan,2.5,6.3,4.1,-1.5,-5.6,-0.6,9.9,6.5,4.3,1.4,0.8,7.0,5.5,2.8,3.5,8.9,5.5,6.1,8.2,4.2,8.4,10.9,5.9,6.3,5.1,5.6,6.5,5.7,3.8,-2.8,3.9,-3.2,-17.0,2.0,4.7,4.9,4.7,0.8,-2.3,-2.5,-3.6,0.5,-2.5,1.2,2.504986995408384,2.788188991134797,2.758509076670626,2.738489522214447,2.728975593432232
America,Suriname,-6.5,1.9,-6.3,-5.1,-3.0,-0.9,-2.4,-8.8,10.8,2.3,-1.5,-13.8,3.9,-2.2,-7.0,11.3,11.2,7.0,2.2,-0.9,-0.1,4.9,3.7,6.2,7.3,4.9,5.8,5.1,4.1,3.0,5.2,5.8,2.7,2.9,0.3,-3.4,-4.9,1.6,4.9,1.1,-15.9,-2.7,1.3,2.3,2.9209545207716268,3.026689792663477,3.0004127192982457,2.989974174071543,2.9719432216905903
Europe,Sweden,4.6,4.5,1.4,2.1,4.3,2.3,3.0,3.3,2.5,2.7,0.8,-1.1,-0.9,-1.8,3.9,3.9,1.6,3.1,4.3,4.2,4.8,1.4,2.2,2.3,4.3,2.9,4.7,3.4,-0.5,-4.3,6.0,3.2,-0.6,1.2,2.7,4.5,2.1,2.6,2.0,2.0,-2.2,5.4,2.6,-0.5,1.2688812409812409,2.3107393097643083,2.1364564213564243,2.107143951418953,2.099180375180377
Europe,Switzerland,5.1,1.6,-1.3,0.6,3.1,3.7,1.8,1.5,3.3,4.4,3.7,-0.9,-0.1,-0.1,1.3,0.6,0.5,2.2,2.9,1.6,4.1,1.6,-0.1,-0.1,2.6,2.8,4.2,3.9,2.7,-2.3,3.2,1.9,1.2,1.8,2.3,1.6,2.1,1.4,2.9,1.2,-2.5,4.2,2.1,0.8,1.6091684730302378,1.551896490274432,1.771036838978017,1.4652380343512692,1.697204217677748
